,token,expiry,strike
0,48775,13APR2023,40100
1,48777,13APR2023,40200
2,48779,13APR2023,40300
3,48784,13APR2023,40400
4,48786,13APR2023,40500
5,48788,13APR2023,40600
6,48790,13APR2023,40700
7,48794,13APR2023,40800
8,48797,13APR2023,40900
9,48799,13APR2023,41000
10,48801,13APR2023,41100
11,48803,13APR2023,41200
12,48805,13APR2023,41300
13,48808,13APR2023,41400
14,48811,13APR2023,41500
15,48813,13APR2023,41600
16,48815,13APR2023,41700
17,48817,13APR2023,41800
18,48820,13APR2023,41900
19,48822,13APR2023,42000
20,48824,13APR2023,42100
