,token,expiry,strike
0,38769,06APR2023,39700
1,38771,06APR2023,39800
2,38773,06APR2023,39900
3,38777,06APR2023,40000
4,38779,06APR2023,40100
5,38781,06APR2023,40200
6,38783,06APR2023,40300
7,38785,06APR2023,40400
8,38787,06APR2023,40500
9,38789,06APR2023,40600
10,38799,06APR2023,40700
11,38802,06APR2023,40800
12,38804,06APR2023,40900
13,38811,06APR2023,41000
14,38813,06APR2023,41100
15,38818,06APR2023,41200
16,38821,06APR2023,41300
17,38826,06APR2023,41400
18,38830,06APR2023,41500
19,38832,06APR2023,41600
20,38834,06APR2023,41700
