,token,expiry,strike
0,38768,06APR2023,39700
1,38770,06APR2023,39800
2,38772,06APR2023,39900
3,38776,06APR2023,40000
4,38778,06APR2023,40100
5,38780,06APR2023,40200
6,38782,06APR2023,40300
7,38784,06APR2023,40400
8,38786,06APR2023,40500
9,38788,06APR2023,40600
10,38796,06APR2023,40700
11,38801,06APR2023,40800
12,38803,06APR2023,40900
13,38805,06APR2023,41000
14,38812,06APR2023,41100
15,38817,06APR2023,41200
16,38820,06APR2023,41300
17,38825,06APR2023,41400
18,38827,06APR2023,41500
19,38831,06APR2023,41600
20,38833,06APR2023,41700
