,token,expiry,strike
0,38766,06APR2023,39600
1,38768,06APR2023,39700
2,38770,06APR2023,39800
3,38772,06APR2023,39900
4,38776,06APR2023,40000
5,38778,06APR2023,40100
6,38780,06APR2023,40200
7,38782,06APR2023,40300
8,38784,06APR2023,40400
9,38786,06APR2023,40500
10,38788,06APR2023,40600
11,38796,06APR2023,40700
12,38801,06APR2023,40800
13,38803,06APR2023,40900
14,38805,06APR2023,41000
15,38812,06APR2023,41100
16,38817,06APR2023,41200
17,38820,06APR2023,41300
18,38825,06APR2023,41400
19,38827,06APR2023,41500
20,38831,06APR2023,41600
